start_date,end_date,covariate,value,evidence_class,temporal_scope,source_path,source_page,note,evidence_id,daily_start_date,daily_end_date,daily_values,daily_review
1969-01-01,1975-12-31,net_configuration,southern_dawn_nets_6_to_10,historical_synthesis,period,data/02_reference/publications/pdfs/149917_394216_1_SM.pdf,PDF pp. 4–5,Generally 6–10 dawn nets south of the lodge; not a daily effort record.,OH001,,,,context_only
1969-01-01,1975-12-31,light_configuration,three_north_facing_1_kw_lights,contemporary_publication,reported_period,data/02_reference/publications/pdfs/Pearson_Backhurst___1976___The_Southward_Migration_of_Palaearctic_Birds_Over_Ngulia_Kenya.pdf,PDF p. 1,Contemporary account describes three 1 kW north-facing lodge lights; retain alongside the later retrospective 1.5 kW description rather than harmonising wattages.,OH002,,,,context_only
1971-11-01,1973-01-31,net_configuration,dawn_mist_nets_70_to_150_m_southwest_and_south,contemporary_publication,period,data/02_reference/publications/pdfs/Pearson_Backhurst___1976___The_Southward_Migration_of_Palaearctic_Birds_Over_Ngulia_Kenya.pdf,PDF p. 2,Regular morning mist-netting used 70–150 m in low cover southwest and sparse scrub south of the lodge; nets were erected before dawn and dismantled after operations because of large game.,OH003,,,,context_only
1976-01-01,1983-12-31,net_configuration,night_nets_1_to_3_added,historical_synthesis,period,data/02_reference/publications/pdfs/149917_394216_1_SM.pdf,PDF pp. 4–5,Night nets were added below the floodlights; the decoded site field contains an unresolved 1974 discrepancy.,OH004,,,,context_only
1982-10-21,1982-12-21,light_reliability,north_facing_lights_reduced_or_faulty,contemporary_publication,reported_session,data/02_reference/publications/pdfs/Backhurst_Pearson___1983___Ringing_and_Migration_at_Ngulia_Tsavo_October_to_December_1982.pdf,PDF p. 1,"The number and wattage of north-facing lights were often reduced to save electricity and because of breakdowns; this was reported to reduce attraction. Dates identify the covered 1982 session, not individual affected nights.",OH005,,,,context_only
1983-11-03,1983-12-11,session_capacity,night_netting_possible_on_7_of_14_manned_nights,contemporary_publication,reported_session,data/02_reference/publications/pdfs/Backhurst_Pearson___1984___Ringing_and_migration_at_ngulia_tsavo_autumn_1983.pdf,PDF p. 1,Night netting was possible on only seven nights during the reported session; suitable conditions rather than a fixed nightly schedule determined operation.,OH006,,,,context_only
1984-01-01,1984-12-31,light_configuration,weaker_500_w_lamps,historical_synthesis,period,data/02_reference/publications/pdfs/149917_394216_1_SM.pdf,PDF p. 5,Fewer birds were reported attracted after replacement of the main lamps.,OH007,,,,context_only
1984-10-26,1984-12-22,session_capacity,catching_attempted_on_18_of_25_manned_nights,contemporary_publication,reported_session,data/02_reference/publications/pdfs/Backhurst_Kelsey_Pearson___1986___Ringing_and_migration_at_Ngulia_Tsavo_autumn_1984.pdf,PDF p. 1,Twenty-five nights were spent at the lodge and suitable weather allowed catching attempts on 18; this is coverage evidence rather than a daily operation record.,OH008,,,,context_only
1985-01-01,1987-12-31,light_configuration,mobile_1_kw_lamp_added,historical_synthesis,period,data/02_reference/publications/pdfs/149917_394216_1_SM.pdf,PDF p. 5,Broad configuration period; nightly availability is unknown.,OH009,,,,context_only
1985-11-15,1985-12-19,session_capacity,catching_possible_on_15_of_19_manned_nights,contemporary_publication,reported_session,data/02_reference/publications/pdfs/Backhurst_Pearson___1987___Ringing_and_migration_at_Ngulia_Tsavo_autumn_1985.pdf,PDF p. 1,Ringers spent 19 nights at Ngulia and catching was possible on all but four; dates represent the reported coverage interval rather than consecutive nightly deployment.,OH010,,,,context_only
1985-12-01,1985-12-31,light_configuration,project_1_kw_light_erected_north_of_lodge,contemporary_publication,reported_period,data/02_reference/publications/pdfs/Backhurst_Pearson___1987___Ringing_and_migration_at_Ngulia_Tsavo_autumn_1985.pdf,PDF p. 1,The team erected its own 1 kW light north of the lodge during the early-December period to compensate for reduced or failed lodge lights; exact installation and removal dates are not reported.,OH011,,,,context_only
1986-11-01,1986-12-11,session_capacity,ringing_on_23_of_27_manned_dates,contemporary_publication,reported_session,data/02_reference/publications/pdfs/Backhurst_Pearson___1988___Ringing_and_migration_at_Ngulia_Tsavo_autumn_1986.pdf,PDF p. 1,Twenty-seven nights in two periods were spent at Ngulia and birds were caught and ringed on 23 dates; this is not a complete daily effort calendar.,OH012,,,,context_only
1986-12-06,1986-12-07,net_interruption,torrential_rain_severely_curtailed_netting,contemporary_publication,date_range,data/02_reference/publications/pdfs/Backhurst_Pearson___1988___Ringing_and_migration_at_Ngulia_Tsavo_autumn_1986.pdf,PDF pp. 1–2,Torrential rain on the night of 6/7 December and throughout 7 December severely curtailed netting; retain the two-date interval because the source reports an overnight event. The combined overnight/day event is assigned once to ringing date 7 December for daily use.,OH013,1986-12-07,1986-12-07,net_interruption_observed=1;rain_observed=heavy_rain,reviewed_morning_date
1987-10-29,1987-12-20,session_capacity,23_days_of_coverage_with_frequent_absent_mist,contemporary_publication,reported_session,data/02_reference/publications/pdfs/Backhurst_Pearson___1989___Ringing_and_migration_at_Ngulia_Tsavo_autumn_1987.pdf,PDF p. 1,Visits covered 23 days and most nights did not develop mist at lodge level; the low catch should not be interpreted as a fixed reduction in effort.,OH014,,,,context_only
1987-11-25,1987-11-25,net_configuration,27_m_night_net_erected,contemporary_publication,event_date,data/02_reference/publications/pdfs/Backhurst_Pearson___1989___Ringing_and_migration_at_Ngulia_Tsavo_autumn_1987.pdf,PDF p. 1,The report specifies 27 m of night net erected after mist descended at 01:30; it is an event-specific configuration observation.,OH015,1987-11-25,1987-11-25,night_net_operation=1;mist_observation=present_unspecified,reviewed_date
1988-01-01,1988-12-31,session_capacity,no_november_netting_due_to_clear_conditions,contemporary_publication,reported_period,data/02_reference/publications/pdfs/Backhurst_Pearson___1990___Ringing_and_migration_at_Ngulia_Tsavo_autumn_1988.pdf,PDF p. 1,November small-moon visits had clear nights and no netting; exact November dates are not given and this row must not be joined as daily data.,OH016,,,,context_only
1988-01-01,1994-12-31,light_configuration,two_lodge_lamps_upgraded_to_1_kw,historical_synthesis,period,data/02_reference/publications/pdfs/149917_394216_1_SM.pdf,PDF p. 5,Broad configuration period; nightly availability is unknown.,OH017,,,,context_only
1990-11-14,1990-12-23,session_capacity,26_manned_nights_with_three_18_m_nets_almost_every_night,contemporary_publication,reported_session,data/02_reference/publications/pdfs/Backhurst_Pearson___1992___Ringing_and_migration_at_Ngulia_Tsavo_autumn_1990.pdf,PDF p. 1,The two small-moon coverage periods were 14–28 November and 11–23 December; 25 participants allowed three 18 m mist-nets almost every night. The enclosing interval is contextual and not a continuous deployment record.,OH018,,,,context_only
1991-11-05,1991-12-17,session_capacity,30_days_of_cover_in_two_new_moon_sessions,contemporary_publication,reported_session,data/02_reference/publications/pdfs/Backhurst_Pearson___1993___Ringing_and_migration_at_Ngulia_Tsavo_autumn_1991.pdf,PDF p. 1,The season comprised two sessions (5–16 November and 30 November–17 December) and 30 days of coverage; intermediate dates must not be assumed to have been manned.,OH019,,,,context_only
1993-01-01,1996-12-31,net_configuration,dawn_nets_moved_north,historical_synthesis,transition,data/02_reference/publications/pdfs/149917_394216_1_SM.pdf,PDF pp. 1 and 8,"The synthesis describes a 1994 move to northern/front bush, routine in 1995; its map labels the old southern area 1972–1994. DJP B refers to back bush, not the later northern back line. Retain transition uncertainty; daily F records identify actual northern use.",OH020,,,,context_only
1996-01-01,1996-12-31,net_configuration,northern_back_line_added,historical_synthesis,period,data/02_reference/publications/pdfs/149917_394216_1_SM.pdf,PDF p. 8,"The third northern net line was extended by five nets, bringing the ENTIRE northern arrangement to 270 m (not the back line alone). It could be omitted when staffing or catch volume constrained operations. This is not the DJP B/back-bush site code.",OH021,,,,context_only
1995-01-01,2012-12-31,light_configuration,second_mobile_1_kw_lamp,historical_synthesis,period,data/02_reference/publications/pdfs/149917_394216_1_SM.pdf,PDF p. 5,Reference configuration only; individual nightly availability is unknown.,OH022,,,,context_only
1998-01-01,1998-12-31,light_reliability,lodge_lights_often_failed,annual_report,reported_period,data/02_reference/reports/1998.pdf,PDF p. 2,Two project 1 kW lights were used each night while lodge lights suffered frequent breakdowns.,OH023,,,,context_only
2003-12-23,2003-12-23,net_interruption,rain_closed_day_nets_at_09_00,field_weather_note,event_date,"data/01_raw/external/ngulia_management_analysis/03 Data/02 Weather and metadata/weather 2nd sess, 03.txt",Diary entry 23 December,Three night nets operated from 00:20 to 05:20; the L and mid-line dawn nets opened at 05:50 and 06:15 and were closed by rain at 09:00.,OH024,2003-12-23,2003-12-23,net_interruption_observed=1;night_net_operation=1;dawn_net_operation=1;night_net_count=3,reviewed_date
2010-01-01,2010-12-31,light_reliability,one_project_lamp_unusable,annual_report,reported_period,data/02_reference/reports/2010.pdf,PDF p. 1,Temporary lodge lights were substituted; exact affected dates are not reported.,OH025,,,,context_only
2011-01-01,2011-12-31,vegetation_state,front_bush_alarmingly_thin,annual_report,reported_state,data/02_reference/reports/2011 report_unlocked.pdf,PDF p. 1,Report-based habitat condition rather than a measured cover estimate.,OH026,,,,context_only
2012-01-01,2012-12-31,vegetation_state,reduced_dawn_catching_potential,annual_report,reported_state,data/02_reference/reports/2012 report final_unlocked.pdf,PDF p. 2,The report explicitly links elephant thinning to reduced dawn-catching potential.,OH027,,,,context_only
2012-12-16,2012-12-16,light_interruption,all_floodlight_failure,annual_report,event_date,data/02_reference/reports/2012 report final_unlocked.pdf,PDF p. 2,The report dates the all-floodlight electrical failure to the night of 16 December.,OH028,2012-12-16,2012-12-16,light_interruption_observed=1;mist_observation=none,reviewed_date
2013-01-01,2013-12-31,vegetation_state,approximately_20_percent_thicket_remaining,annual_report,reported_state,data/02_reference/reports/2013 report.pdf,PDF p. 3,Report estimate; not mapped vegetation cover.,OH029,,,,context_only
2013-11-25,2013-11-25,light_configuration,one_working_floodlight_initial_setup,annual_report,event_date,data/02_reference/reports/2013 report.pdf,PDF p. 1,On the first night of the reported session only one working floodlight had been set up. Source night begins on arrival 25 November; applies to ringing morning 26 November.,OH030,2013-11-26,2013-11-26,lights_working_count=1;night_net_operation=1;mist_observation=light_patchy,reviewed_morning_date
2013-11-26,2013-11-26,light_configuration,three_floodlights_3_5_kw_assembled,annual_report,event_date,data/02_reference/reports/2013 report.pdf,PDF p. 1,"The next day three floodlights were assembled using new cables: 1.5 kW, 1 kW and 1 kW. This is a setup event, not proof of uninterrupted availability thereafter.",OH031,2013-11-26,2013-11-26,,dated_context_only
