output_file,source,source_column,dwc_term,notes
event.csv,derived,ringing_date,eventID,Stable daily identifier prefixed with ngulia:ringing-day:
event.csv,constant,,type,Event
event.csv,ring_events.csv,ringing_date,eventDate,One event per date with at least one curated capture
event.csv,constant,,eventType,bird capture and ringing session
event.csv,dataset_metadata.yml,gbif.sampling_protocol,samplingProtocol,
event.csv,constant,,locationID,ngulia-ringing-station
event.csv,dataset_metadata.yml,dataset.geographic_coverage.description,locality,
event.csv,dataset_metadata.yml,dataset.geographic_coverage.country,country,
event.csv,dataset_metadata.yml,dataset.geographic_coverage.country_code,countryCode,
event.csv,dataset_metadata.yml,dataset.geographic_coverage.latitude,decimalLatitude,Complete before publication
event.csv,dataset_metadata.yml,dataset.geographic_coverage.longitude,decimalLongitude,Complete before publication
event.csv,constant,,geodeticDatum,WGS84 when coordinates are supplied
event.csv,dataset_metadata.yml,dataset.geographic_coverage.coordinate_uncertainty_m,coordinateUncertaintyInMeters,Complete before publication
occurrence.csv,derived,ringing_date,eventID,Links the capture to event.csv
occurrence.csv,derived,ring_event_id,occurrenceID,Stable identifier prefixed with ngulia:ring-event:
occurrence.csv,derived,ring_number,organismID,Stable individual identifier prefixed with ngulia:ring:
occurrence.csv,ring_events.csv,ring_number,recordNumber,
occurrence.csv,dataset_metadata.yml,gbif.basis_of_record,basisOfRecord,
occurrence.csv,constant,,occurrenceStatus,present
occurrence.csv,constant,,individualCount,1
occurrence.csv,constant,,organismQuantity,1
occurrence.csv,constant,,organismQuantityType,individuals
occurrence.csv,ring_events.csv,datetime,eventDate,Date-only precision retained; recorded local times use UTC+03:00
occurrence.csv,ring_events.csv,avibase_id or subspecies_avibase_id,taxonID,Subspecies identifier used only when resolved in the auk taxonomy
occurrence.csv,auk taxonomy,scientific_name,scientificName,Falls back to configured source scientific name; unidentified bird records use Aves
occurrence.csv,auk taxonomy,category,taxonRank,
occurrence.csv,constant,,kingdom,Animalia
occurrence.csv,constant,,phylum,Chordata
occurrence.csv,constant,,class,Aves
occurrence.csv,auk taxonomy,order,order,
occurrence.csv,auk taxonomy,family,family,
occurrence.csv,ring_events.csv,common_name,vernacularName,
occurrence.csv,ring_events.csv,sex,sex,Certain M and F values map to male and female; uncertainty is retained in eMoF
occurrence.csv,ring_events.csv,ring_note,occurrenceRemarks,
occurrence.csv,derived,subspecies_avibase_id,identificationRemarks,Used when the source subspecies identifier is unresolved
occurrence.csv,dataset_metadata.yml,dataset.data_title,datasetName,
occurrence.csv,dataset_metadata.yml,dataset.license,license,
extended_measurement_or_fact.csv,derived,ringing_date,eventID,Links the measurement to Event core
extended_measurement_or_fact.csv,derived,ring_event_id,occurrenceID,Every row is linked to an individual capture
extended_measurement_or_fact.csv,derived,ring_event_id and source field,measurementID,Stable within each occurrence
extended_measurement_or_fact.csv,ring_events.csv or ring_event_moult.csv,field name,measurementType,Human-readable controlled labels defined by the export script
extended_measurement_or_fact.csv,ring_events.csv or ring_event_moult.csv,field value,measurementValue,
extended_measurement_or_fact.csv,derived,field definition,measurementUnit,mm for wing length; g for body mass; count for old primaries
extended_measurement_or_fact.csv,derived,field definition,measurementMethod,Documents age fat retrap and moult scoring semantics
extended_measurement_or_fact.csv,derived,,measurementRemarks,Reserved for measurement-specific notes
