source_file,source_sheet,source_row,source_row_end,field,corrected_value,note
2009.xls,Sheet1,7035,,species_label_raw,Cecropis rufula,Source race/form "rufula" identifies this individual as European Red-rumped Swallow under the post-split taxonomy.
2009.xls,Sheet1,7035,,note_raw,rufula,Standardize the row-specific post-split taxon marker before species processing.
2022.xlsx,2022 All Pal Data,4457,,species_label_raw,Cecropis rufula,Source note "European" identifies this individual as European Red-rumped Swallow under the post-split taxonomy.
2022.xlsx,2022 All Pal Data,4457,,note_raw,rufula,Standardize the row-specific post-split taxon marker before species processing.
1991_B.xls,Sheet1,149,,day_raw,12,
1994.xls,94 combined,8568,,day_raw,6,
1996.xls,Sheet1,80,,month_raw,11,
1996.xls,Sheet1,1312,,sex_raw,,Sex field contains a misplaced age value; treat sex as missing.
1996.xls,Sheet1,5687,,sex_raw,,Sex field contains a misplaced age value; treat sex as missing.
1997.xls,Sheet1,13436,,sex_raw,M,Remove the duplicated sex letter.
1997.xls,Sheet1,15295,,sex_raw,M,Remove the duplicated sex letter.
1997.xls,Sheet1,16519,,sex_raw,F,Remove the duplicated sex letter.
1997.xls,Sheet1,17111,,sex_raw,,Invalid sex code; treat sex as missing.
1998.xls,Sheet1,16219,,sex_raw,M,Keep the first character of the sex value and remove the stray punctuation.
2001-2005_Processed(1993-2000 present too).xlsx,Ngulia Data 1993-2005,37214,,sex_raw,M,Keep the first character of the sex value.
2001-2005_Processed(1993-2000 present too).xlsx,Ngulia Data 1993-2005,42884,,sex_raw,M,Keep the first character of the sex value.
2001-2005_Processed(1993-2000 present too).xlsx,Ngulia Data 1993-2005,44622,,sex_raw,M,Keep the first character of the sex value and remove the stray punctuation.
2009.xls,Sheet1,11100,,sex_raw,M,Keep the first character of the sex value.
2012.xls,Sheet1,12572,,sex_raw,N,Keep the first character of the sex value.
2013.xls,Sheet1,3184,,sex_raw,F,Keep the first character of the sex value.
1996.xls,Sheet1,12401,12594,day_raw,10,"Continuous 1EH block on 11 Dec 1996 appears to be a dragged/copied day entry; shifting this run to 10 Dec removes the 10/11 Dec species swap."
1999.xls,Sheet1,12879,,year_raw,99,
1999.xls,Sheet1,1580,1693,day_raw,21,"Continuous BN block appears to have kept a copied day value of 20; shifting this run to 21 removes the 20/21 Nov 1999 species swap."
2016.xlsx,Sheet1,717,,date_raw,43070,
2019.xlsx,Ringing Data,1247,,date_raw,20.11.2019,
2019.xlsx,Ringing Data,2085,,date_raw,22.11.2019,
2019.xlsx,Ringing Data,3832,,date_raw,02.12.2019,
2019.xlsx,Ringing Data,3934,,date_raw,03.12.2019,
2019.xlsx,Ringing Data,5394,,date_raw,21.11.2019,
