source_file,source_sheet,source_row,expected_pattern,action,note
1999.xls,Sheet1,15734,^1EJ04000$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
1999.xls,Sheet1,15735,^1EJ04001$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
1999.xls,Sheet1,15736,^1EJ04002$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
1999.xls,Sheet1,15737,^1EJ04003$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2006-2007_Processed.xls,Sheet1,4056,^CG15180$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4547,^3518700$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4548,^3518701$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4549,^3518703$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4550,^3518704$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4551,^3518705$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4552,^3518706$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4553,^3518707$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4554,^3518708$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4555,^3518709$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4556,^3518711$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4557,^3518712$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4558,^3518713$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4559,^3518714$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4560,^3518716$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4561,^3518717$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4562,^3518718$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4563,^3518719$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4564,^3518720$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4565,^3518721$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4566,^3518723$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4567,^3518726$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4568,^3518727$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4569,^3518728$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4700,^3518702$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4701,^3518715$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4702,^3518722$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4703,^3518724$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,4704,^3518725$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2008_Processed.xlsx,Sheet1,16800,^3518710$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
2013.xls,Sheet1,5541,^4414847$,new_assignment,Consecutive or cross-species ring-number collision reviewed as a new assignment; do not link to the earlier event.
