input_type,input_text,afring_number,note
afring_number,0,0,
afring_number,1,1,
afring_number,10,10,
afring_number,100,100,
afring_number,1000,1000,
afring_number,10000,10000,
afring_number,10001,10001,
afring_number,10002,10002,
afring_number,10003,10003,
afring_number,10004,10004,
afring_number,1002,1002,
afring_number,1003,1003,
afring_number,1004,1004,
afring_number,1005,1005,
afring_number,1006,1006,
afring_number,1007,1007,
afring_number,1008,1008,
afring_number,1009,1009,
afring_number,101,101,
afring_number,1010,1010,
afring_number,1011,1011,
afring_number,1012,1012,
afring_number,1013,1013,
afring_number,1014,1014,
afring_number,1015,1015,
afring_number,1016,1016,
afring_number,1017,1017,
afring_number,1018,1018,
afring_number,1019,1019,
afring_number,102,102,
afring_number,1020,1020,
afring_number,1021,1021,
afring_number,1022,1022,
afring_number,1023,1023,
afring_number,1024,1024,
afring_number,1025,1025,
afring_number,1027,1027,
afring_number,1028,1028,
afring_number,1029,1029,
afring_number,103,103,
afring_number,1030,1030,
afring_number,1031,1031,
afring_number,1032,1032,
afring_number,1033,1033,
afring_number,1034,1034,
afring_number,1035,1035,
afring_number,1036,1036,
afring_number,1037,1037,
afring_number,1038,1038,
afring_number,1039,1039,
afring_number,104,104,
afring_number,1040,1040,
afring_number,1041,1041,
afring_number,1042,1042,
afring_number,1043,1043,
afring_number,1044,1044,
afring_number,1045,1045,
afring_number,1046,1046,
afring_number,1047,1047,
afring_number,1048,1048,
afring_number,1049,1049,
afring_number,105,105,
afring_number,1050,1050,
afring_number,1051,1051,
afring_number,1052,1052,
afring_number,1053,1053,
afring_number,1054,1054,
afring_number,1055,1055,
afring_number,1056,1056,
afring_number,1057,1057,
afring_number,1058,1058,
afring_number,1059,1059,
afring_number,106,106,
afring_number,1060,1060,
afring_number,1061,1061,
afring_number,1062,1062,
afring_number,1063,1063,
afring_number,1064,1064,
afring_number,1065,1065,
afring_number,1066,1066,
afring_number,1067,1067,
afring_number,1068,1068,
afring_number,1069,1069,
afring_number,107,107,
afring_number,1070,1070,
afring_number,1071,1071,
afring_number,1072,1072,
afring_number,1073,1073,
afring_number,1074,1074,
afring_number,1075,1075,
afring_number,1076,1076,
afring_number,1077,1077,
afring_number,1078,1078,
afring_number,1079,1079,
afring_number,108,108,
afring_number,1080,1080,
afring_number,1081,1081,
afring_number,1082,1082,
afring_number,1083,1083,
afring_number,1084,1084,
afring_number,1085,1085,
afring_number,1086,1086,
afring_number,1087,1087,
afring_number,1088,1088,
afring_number,1089,1089,
afring_number,109,109,
afring_number,1090,1090,
afring_number,1091,1091,
afring_number,1093,1093,
afring_number,1094,1094,
afring_number,1095,1095,
afring_number,1096,1096,
afring_number,1097,1097,
afring_number,1098,1098,
afring_number,1099,1099,
afring_number,11,11,
afring_number,110,110,
afring_number,1100,1100,
afring_number,1101,1101,
afring_number,1102,1102,
afring_number,1103,1103,
afring_number,1104,1104,
afring_number,1105,1105,
afring_number,1106,1106,
afring_number,1107,1107,
afring_number,1108,1108,
afring_number,1109,1109,
afring_number,111,111,
afring_number,1110,1110,
afring_number,1111,1111,
afring_number,1112,1112,
afring_number,1113,1113,
afring_number,1114,1114,
afring_number,1115,1115,
afring_number,1116,1116,
afring_number,1117,1117,
afring_number,1118,1118,
afring_number,1119,1119,
afring_number,112,112,
afring_number,1120,1120,
afring_number,1121,1121,
afring_number,1122,1122,
afring_number,1124,1124,
afring_number,1125,1125,
afring_number,1126,1126,
afring_number,1127,1127,
afring_number,1128,1128,
afring_number,1129,1129,
afring_number,113,113,
afring_number,1130,1130,
afring_number,1131,1131,
afring_number,1132,1132,
afring_number,1133,1133,
afring_number,1134,1134,
afring_number,1135,1135,
afring_number,1136,1136,
afring_number,1137,1137,
afring_number,1138,1138,
afring_number,1139,1139,
afring_number,114,114,
afring_number,1140,1140,
afring_number,1141,1141,
afring_number,1142,1142,
afring_number,1143,1143,
afring_number,1144,1144,
afring_number,1145,1145,
afring_number,1146,1146,
afring_number,1148,1148,
afring_number,1149,1149,
afring_number,115,115,
afring_number,1150,1150,
afring_number,1151,1151,
afring_number,1152,1152,
afring_number,1153,1153,
afring_number,1154,1154,
afring_number,1155,1155,
afring_number,1156,1156,
afring_number,1158,1158,
afring_number,1159,1159,
afring_number,116,116,
afring_number,1160,1160,
afring_number,1161,1161,
afring_number,1162,1162,
afring_number,1163,1163,
afring_number,1164,1164,
afring_number,1165,1165,
afring_number,1166,1166,
afring_number,1167,1167,
afring_number,1168,1168,
afring_number,1169,1169,
afring_number,117,117,
afring_number,1170,1170,
afring_number,1171,1171,
afring_number,1172,1172,
afring_number,1173,1173,
afring_number,1174,1174,
afring_number,1175,1175,
afring_number,1176,1176,
afring_number,1177,1177,
afring_number,1178,1178,
afring_number,1179,1179,
afring_number,118,118,
afring_number,1180,1180,
afring_number,1181,1181,
afring_number,1182,1182,
afring_number,1183,1183,
afring_number,1184,1184,
afring_number,1185,1185,
afring_number,1186,1186,
afring_number,1187,1187,
afring_number,1188,1188,
afring_number,1189,1189,
afring_number,119,119,
afring_number,1190,1190,
afring_number,1191,1191,
afring_number,1192,1192,
afring_number,1193,1193,
afring_number,1194,1194,
afring_number,1195,1195,
afring_number,12,12,
afring_number,120,120,
afring_number,1200,1200,
afring_number,1202,1202,
afring_number,1204,1204,
afring_number,1206,1206,
afring_number,1208,1208,
afring_number,121,121,
afring_number,1210,1210,
afring_number,1212,1212,
afring_number,1214,1214,
afring_number,1216,1216,
afring_number,1218,1218,
afring_number,122,122,
afring_number,1220,1220,
afring_number,1222,1222,
afring_number,1224,1224,
afring_number,1226,1226,
afring_number,1228,1228,
afring_number,123,123,
afring_number,1230,1230,
afring_number,1232,1232,
afring_number,1234,1234,
afring_number,1236,1236,
afring_number,1238,1238,
afring_number,124,124,
afring_number,1240,1240,
afring_number,1242,1242,
afring_number,1244,1244,
afring_number,1246,1246,
afring_number,1248,1248,
afring_number,125,125,
afring_number,1250,1250,
afring_number,1252,1252,
afring_number,1254,1254,
afring_number,1256,1256,
afring_number,1258,1258,
afring_number,12592,2592,Weak guess numeric corruption mapped to 2592
afring_number,126,126,
afring_number,1260,1260,
afring_number,1262,1262,
afring_number,1264,1264,
afring_number,1266,1266,
afring_number,1268,1268,
