afring_number,latin_abbreviation,ngulia_number,avibase_id,common_name,scientific_name
-3,HRXDU,,avibase-64DECB63,Barn Swallow x Western House Martin (hybrid),Hirundo rustica x Delichon urbicum
-2,ACRDUMxPAL,,avibase-D6C468F7,Marsh x Blyth's Reed Warbler (hybrid),Acrocephalus dumetorum x palustris
-1,LANCOLXLANISA,33,avibase-9C172F06,Red-backed x Red-tailed Shrike (hybrid),Lanius collurio x phoenicuroides
0,,0,avibase-AF0D818A,Unknown,Unknown
1,STRCAM,,avibase-2247CB05,,
2,SPHDEM,,avibase-9B183BDD,,
3,EUDCHR,,avibase-ECEE0622,,
4,PODCRI,,avibase-8F269702,,
5,PODNIG,,avibase-32DCEC14,,
6,TACRUF,,avibase-215FEA89,,
7,DIOEXU,,avibase-A28D8D38,,
8,THAMEL,,avibase-F9FCB9FF,,
9,THACHR,,avibase-0E4475F6,,
10,THACHL,,avibase-EA2FA918,,
11,THACAU,,avibase-87797B47,,
12,PHOFUS,,avibase-4976BF1D,,
13,MACGIG,,avibase-C1706A8B,,
14,DAPCAP,,avibase-AAC2D613,,
15,FULGLA,,avibase-10C2881A,,
16,PTEMAC,,avibase-508E7E59,,
18,PTEINC,,avibase-23865D25,,
19,PTEMOL,,avibase-12286A1E,,
20,HALCAE,,avibase-68D6A13A,,
21,PACVIT,,avibase-93860B9B,,
22,PACDES,,avibase-105C306C,,
24,PROCIN,,avibase-843C1B86,,
25,PUFGRA,,avibase-8B879DFA,,
26,CALDIO,,avibase-CA4D268D,,
27,PUFASS,,avibase-0205EDC6,,
28,PUFLHE,,avibase-06C36D41,,
29,PUFGRI,,avibase-1725B07D,,
30,HYDPEL,,avibase-E1638A37,,
31,OCELEU,,avibase-C5FB15C6,,
32,EUDROB,,avibase-5EA37AA8,,
33,OCEOCE,,avibase-D295D249,,
34,PELMAR,,avibase-E9DF118E,,
35,GARNER,,avibase-F5C74C92,,
36,FRETRO,,avibase-ACE8EADE,,
37,FREGRA,,avibase-224E1093,,
38,PELURI,,avibase-8A40716A,,
39,PHARUB,,avibase-C412CD62,,
40,PHALEP,,avibase-1D07B501,,
41,PELRUF,,avibase-8D24E93C,,
42,PELONO,,avibase-8BAFB01E,,
43,MORSER,,avibase-13610344,,
44,MORCAP,,avibase-775E93D7,,
45,SULDAC,,avibase-22D1B4A2,,
46,SULLEU,,avibase-05520B42,,
47,PHACAR,,avibase-3DF5C587,,
48,PHACAP,,avibase-AE61BF48,,
49,PHANEG,,avibase-37D2AC51,,
50,PHAAFR,,avibase-E255DCE1,,
51,PHACOR,,avibase-446E8F9D,,
52,ANHRUF,,avibase-5C7936A7,,
53,FREMIN,,avibase-788EBCAB,,
54,ARDCIN,,avibase-6429024D,,
55,ARDMEL,,avibase-25A648FE,,
56,ARDGOL,,avibase-C7888A15,,
57,ARDPUR,,avibase-3395DCF1,,
58,ARDALB,,avibase-49D9148A,,
59,EGRGAR,,avibase-F2858F9F,,
60,EGRINT,,avibase-C3ABF863,,
61,BUBIBI,,,,
62,ARDRAL,,avibase-CE73EBD7,,
63,BUTSTR,,avibase-67ADD2E3,,
64,EGRARD,,avibase-74853F89,,
65,ARDRUF,,avibase-AEB2DA9B,,
66,IXOSTU,,avibase-87EEBD3E,,
67,IXOMIN,44,avibase-7AAD57AC,,
68,MEGANT,,avibase-9DF07165,,
69,NYCNYC,54,avibase-6BB94D7E,,
70,GORLEU,,avibase-3C12AA44,,
