afring_number,note,subspecies_avibase_id,n_records
2596,africana,avibase-8488A94A,888
598,brown,,573
2592,red,,349
599,yakutensis,avibase-D3A915B5,292
2596,hafizi,avibase-5B7A0A9B,255
598,intermed,,183
2288,phoen,avibase-EE7915A2,135
598,yellow,,128
371,unwini,avibase-9957E06E,113
2592,pale,,105
2288,phoenicuroides,avibase-EE7915A2,83
607,ringed at net,,83
371,nominate,avibase-26F25C6E,71
597,TS,,66
597,nts,,60
708,kobylini,avibase-B82EBC54,59
949,TS,,51
2288,phoen.,avibase-EE7915A2,49
3278,NTS,,44
2288,isabellinus,avibase-E40C1C33,43
371,europaeus,avibase-26F25C6E,41
3278,TS,,37
597,ts,,35
2596,af,,32
949,NTS,,29
371,nom,avibase-26F25C6E,28
599,yak,avibase-D3A915B5,28
3276,NTS,,24
493,blue,,24
597,NTS,,24
594,brown,,23
2596,golzi,avibase-6AB0EB18,22
2596,int,,22
3278,nts,,22
597,fts,,21
607,N.T.,,21
607,NT,,21
949,nts,,20
708,nominate,avibase-321E949B,19
594,grey-brown,,18
371,plumipes,avibase-77533CAC,17
371,sarudnyi,avibase-8626FD08,17
598,TS,,16
2288,karelini,avibase-215A6FEA,15
567,familiaris,avibase-16F95D5D,15
592,Retrap with no initials,,15
,,,15
3276,nts,,14
911,fuscus,avibase-877053DA,14
598,ts,,13
2288,specul.,avibase-A5FEB966,11
594,volgensis,avibase-0BE94199,11
949,ts,,11
3278,fts,,10
603,nominate,avibase-459B9F6C,10
3276,TS,,9
3278,ts,,9
607,No tail,,9
654,newmani,avibase-68C7DF66,8
2596,gol,avibase-6AB0EB18,7
599,grey upper,,7
969,dammholzi,avibase-9065B329,7
2288,Phoen,avibase-EE7915A2,6
371,pale nominate,avibase-26F25C6E,6
493,broken tail,,6
567,syriacus,avibase-19850A30,6
594,Retrap with no initials,,6
597,SW,,6
598,nts,,6
607,Retrap with no initials,,6
2288,isabell,avibase-E40C1C33,5
2288,speculigerus,avibase-A5FEB966,5
2596,Hafizi,avibase-5B7A0A9B,5
3276,narrow secs,,5
3276,ts,,5
371,nom.,avibase-26F25C6E,5
592,africana,,5
594,DNA,,5
594,grey,,5
597,VW,,5
598,fts,,5
603,zarudnyi,avibase-C24BA9FB,5
607,TS,,5
708,coll,avibase-321E949B,5
2288,phoenic.,avibase-EE7915A2,4
2592,very pale,,4
2596,Africana,avibase-8488A94A,4
2596,Z,,4
371,unwini-sar,avibase-9957E06E,4
493,Broken tail,,4
493,transativa,avibase-A7045662,4
594,both wings,,4
594,icterops,avibase-3C86CD92,4
594,volg.,avibase-0BE94199,4
599,Yak,avibase-D3A915B5,4
607,clear night,,4
1826,reddish,,3
2288,Isab,avibase-E40C1C33,3
2288,isab,avibase-E40C1C33,3
2592,SW,,3
2596,haf,avibase-5B7A0A9B,3
3276,broad secs,,3
371,euro,avibase-26F25C6E,3
371,grey,,3
592,clear night,,3
592,grey,,3
594,NT,,3
594,b,,3
594,dark,,3
599,YAK,avibase-D3A915B5,3
949,grey,,3
9999,missing,,3
0,ring destroyed,,2
2288,phoeni.,avibase-EE7915A2,2
2288,phoenicea,avibase-EE7915A2,2
2288,phoenicuriodes,avibase-EE7915A2,2
2288,phon,avibase-EE7915A2,2
2288,specul,avibase-A5FEB966,2
2592,Pale,,2
2592,cinnamon,,2
2596,AF,,2
3276,fts,,2
371,Unwini,avibase-9957E06E,2
493,pp look new,,2
592,no tail,,2
594,N.T.,,2
594,VW,,2
594,g,,2
595,greyellow,,2
597,a suspected adult,,2
597,old GC short,,2
598,Retrap with no initials,,2
599,yakatensis,avibase-D3A915B5,2
603,nom,avibase-459B9F6C,2
607,NTS,,2
607,SW,,2
607,black legs,,2
607,both wings,,2
607,wet bird,,2
607,yakutensis,,2
689,lutea,avibase-2064577F,2
708,Retrap with no initials,,2
708,clear night,,2
708,collurio,avibase-321E949B,2
708,pallidifrons,avibase-34CC4919,2
911,nts,,2
949,Retrap with no initials,,2
949,bright eye,,2
949,fts,,2
969,nominate,avibase-85A0B4F3,2
9999,Lost Ring,,2
9999,ring destroyed,,2
0,RING MISSING,,1
0,Ring Missing,,1
0,ring missing,,1
10004,L.coll x L. isab,,1
1826,dark grey,,1
1826,rufus,,1
2288,Isabalunus,avibase-E40C1C33,1
2288,Phoem,avibase-EE7915A2,1
2288,Sandy grey back warm-red crown,,1
2288,Turkistan,avibase-EE7915A2,1
2288,Turs,avibase-EE7915A2,1
2288,arenarius,avibase-20A6541A,1
2288,buff underp.,,1
2288,karel,avibase-215A6FEA,1
2288,phoeb,avibase-EE7915A2,1
2288,phoenicuoides,avibase-EE7915A2,1
2288,pp w,,1
2288,specu.,avibase-A5FEB966,1
2288,turkistan,avibase-EE7915A2,1
2592,N.T.,,1
2592,PALE,,1
2592,Retrap with no initials,,1
2592,UM deformed,,1
2592,af,,1
2592,africana,,1
2592,albino,,1
2592,almost full ad plum,,1
2592,hafizi,,1
2592,intermed,,1
2592,pele,,1
2592,rred,,1
2592,white,,1
2596,A,,1
2596,GOLZI,avibase-6AB0EB18,1
2596,Meg af,avibase-04781584,1
2596,af gol,,1
2596,af right foot missing,,1
2596,afisi,,1
2596,afr,avibase-8488A94A,1
2596,africans,avibase-8488A94A,1
2596,afriocana,avibase-8488A94A,1
2596,golzii,avibase-6AB0EB18,1
2596,hafisi,avibase-5B7A0A9B,1
2596,megarhynchos,avibase-04781584,1
2596,red,,1
3276,Broad ss,,1
3276,Rounded SS,,1
3276,narrow ss pointy tail,,1
3276,old pp vsw,,1
3276,old ss,,1
3276,s pointy,,1
3276,square ss,,1
3276,tail growing,,1
3278,Juv ss,,1
3278,MW SW,,1
3278,No body moult,,1
3278,SK,,1
3278,SW,,1
3278,VSW,,1
3278,VW,,1
3278,a suspected adult,,1
3278,adult ss,,1
3278,fault bar,,1
3278,plumage completely fresh,,1
3278,pp-sw,,1
3278,ss broad,,1
346,Gr.sp.Cuck,,1
3534,Mirafra cantilans,avibase-6B089785,1
371,Nominate,avibase-26F25C6E,1
371,Uni,avibase-9957E06E,1
371,uwini,avibase-9957E06E,1
493,amateur ring,,1
493,blue - tf taken,,1
493,broke tail,,1
493,cotton on leg,,1
493,ring presumed missing from string,,1
493,ringer unidentified,,1
493,tf taken,,1
493,unidentified ringer,,1
493,wire ring L leg,,1
567,LEUCISTIC,,1
567,fam,avibase-16F95D5D,1
592,ALBINO,,1
592,Lenuitic eathers on hand,,1
592,N.T.,,1
592,NT,,1
592,NTS,,1
592,No Tail,,1
592,Phoeni,,1
592,Retrap,,1
592,Rt. lg missing below rwi old,,1
592,Snowy,,1
592,Tail feathers a little pointy,,1
592,af,,1
592,changed a ring ok PRO,,1
592,confirm the ring,,1
592,deformed bill,,1
592,empty,,1
592,int,,1
592,leucistic,,1
592,no tape,,1
592,old dislocation,,1
592,one leg,,1
592,right foot missing,,1
592,tape,,1
592,unrecorded ring,,1
594,BW,,1
594,Both wings,,1
594,Brown head,,1
594,CONFIRM,,1
594,Retrap,,1
594,Same both wings,,1
594,b-g,,1
594,bright eye,,1
594,confirm,,1
594,dark grey,,1
594,hafisi,,1
594,molt same on both wings,,1
594,sw,,1
594,ts,,1
594,yakutensis,,1
595,brown,,1
